Amazon_MediaCost,BingSearch_MediaCost,DV360_MediaCost,Facebook_MediaCost,GoogleSearch_MediaCost,Pinterest_MediaCost,Radio_MediaCost,Snapchat_MediaCost,YouTube_MediaCost,Amazon_Impressions,BingSearch_Impressions,DV360_Impressions,Facebook_Impressions,GoogleSearch_Impressions,Pinterest_Impressions,Radio_Impressions,Snapchat_Impressions,YouTube_Impressions,Revenue,holiday
0,681.68,0,24286.10001,12926.59916,0,0,0,967.547607,0,15886,0,1809701,649419,0,0,0,211336,72654.15,0
0,800.79,0,25932.62002,13095.66596,0,0,0,1043.106401,0,14890,0,1840023,640182,0,0,0,189616,71689.3,0
0,740.5,0,28690.21,14070.63224,0,0,0,1004.093604,0,15267,0,2212734,635576,0,0,0,166885,98203.77,0
0,715.81,0,26063.23,14107.84946,0,0,0,1018.038531,0,13666,0,1603360,642237,0,0,0,165712,93277.35,0
0,634.08,0,19000.51,12839.03967,0,0,0,969.400721,0,12839,0,1029695,587688,0,0,0,143247,78780.85,0
0,640.43,0,20429.65998,12446.87663,0,0,0,986.178403,0,12384,0,1205068,579124,0,0,0,149644,71255.9,0
0,769.81,0,19601.73,14130.2675,0,0,0,983.014627,0,13261,0,1264560,562481,0,0,0,168804,79705.8,0
0,941.23,0,15463.71,14671.29119,0,0,0,983.62299,0,17288,0,975737,599563,0,0,0,201584,74663.8,0
0,873.39,0,16562.37,13915.41647,0,0,0,987.99583,0,16171,0,1034939,597927,0,0,0,227086,65980.55,0
0,814.19,0,21884.48999,13029.67901,0,0,0,953.222725,0,17696,0,1416033,592544,0,0,0,91811,71049.25,0
0,822.29,0,21628.34,12701.99756,0,0,0,958.641619,0,15545,0,1423290,582957,0,0,0,147294,71211.3,0
0,711.62,0,20602.82,12005.87214,0,0,0,971.75784,0,14649,0,1365803,765655,0,0,0,102952,63781.75,0
0,590.59,0,20914.15999,11137.61214,0,0,0,482.435907,0,11014,0,1557658,559271,0,0,0,34772,60184.1,0
0,537.44,0,20502.44001,12272.76239,0,0,0,486.529476,0,11982,0,1567260,609363,0,0,0,49756,68602.6,0
0,639.22,0,23113.84999,11795.00504,0,0,0,491.598598,0,14213,0,1262742,581630,0,0,0,51303,59790.45,0
0,662.37,0,16812.38,11969.16848,0,0,0,478.232636,0,14081,0,1117592,587268,0,0,0,43084,58278.75,0
0,501.13,0,34326.62002,12490.46334,0,0,0,478.961572,0,14754,0,1753083,570687,0,0,0,36543,56012.1,0
0,619.27,0,20028.04998,11827.75755,0,0,0,505.541312,0,15797,0,1245638,587411,0,0,0,47578,60813.85,0
0,532.28,0,19180.32,11112.69254,0,0,0,506.743678,0,12508,0,1475193,605806,0,0,0,54008,58087.4,0
0,399.17,0,17645.2,10763.3276,0,0,0,505.99644,0,13664,0,1401627,568761,0,0,0,56901,50382.75,0
0,420.42,0,17330.17,11302.11273,0,0,0,506.313017,0,13975,0,1540153,624202,0,0,0,55632,54450.55,0
0,604.61,0,16955.29999,13189.78527,0,0,0,512.607501,0,16391,0,1411306,676449,0,0,0,56020,58600.55,0
