Day,BingSearch_PaidSearchBrand_MediaCost,Criteo_Prospecting_MediaCost,Criteo_Retargeting_MediaCost,DV360_Prospecting_MediaCost,DV360_Retargeting_MediaCost,Facebook_MediaCost,GoogleSearch_PaidSearchBrand_MediaCost,GoogleSearch_PaidSearchNonBrand_MediaCost,GoogleSearch_ShoppingAdsBrandNonBrand_MediaCost,Influential_Conversions_MediaCost,Influential_SiteTraffic_MediaCost,Snapchat_AddToCartYoungAdults_MediaCost,Snapchat_Awareness_MediaCost,Snapchat_Conversions_MediaCost,Snapchat_ConversionsSnapAds_MediaCost,Snapchat_ConversionsYoungAdults_MediaCost,Snapchat_Traffic_MediaCost,Snapchat_VideoViewsYoungAdults_MediaCost,TheTradeDesk_Prospecting_MediaCost,TheTradeDesk_Retargeting_MediaCost,YouTube_Prospecting_MediaCost,YouTube_Retargeting_MediaCost,BingSearch_PaidSearchBrand_Impressions,Criteo_Prospecting_Impressions,Criteo_Retargeting_Impressions,DV360_Prospecting_Impressions,DV360_Retargeting_Impressions,Facebook_Impressions,GoogleSearch_PaidSearchBrand_Impressions,GoogleSearch_PaidSearchNonBrand_Impressions,GoogleSearch_ShoppingAdsBrandNonBrand_Impressions,Influential_Conversions_Impressions,Influential_SiteTraffic_Impressions,Snapchat_AddToCartYoungAdults_Impressions,Snapchat_Awareness_Impressions,Snapchat_Conversions_Impressions,Snapchat_ConversionsSnapAds_Impressions,Snapchat_ConversionsYoungAdults_Impressions,Snapchat_Traffic_Impressions,Snapchat_VideoViewsYoungAdults_Impressions,TheTradeDesk_Prospecting_Impressions,TheTradeDesk_Retargeting_Impressions,YouTube_Prospecting_Impressions,YouTube_Retargeting_Impressions,Orders,holiday
2021-03-01,4.23,0.0,0.0,0.0,0.0,399.77,249.59,184.74,506.114601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.972577,0.0,50.0,0.0,0.0,0.0,0.0,68487.0,951.0,2616.0,43022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27301.0,0.0,47,0
2021-03-02,11.75,0.0,0.0,0.0,0.0,609.47,422.28,185.31,556.461496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.771107,0.0,58.0,0.0,0.0,0.0,0.0,102186.0,979.0,2745.0,48575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26509.0,0.0,45,0
2021-03-03,9.870000000000001,0.0,0.0,0.0,0.0,532.4599989999999,244.7,187.87,585.777179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.449466,0.0,57.0,0.0,0.0,0.0,0.0,87278.0,902.0,2637.0,42855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25626.0,0.0,35,0
2021-03-04,8.09,0.0,0.0,0.0,0.0,517.15,314.05,151.47,585.54906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.191014,0.0,56.0,0.0,0.0,0.0,0.0,77252.0,967.0,2538.0,41362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22916.0,0.0,42,0
2021-03-05,20.449999999999996,0.0,0.0,0.0,0.0,693.630002,200.03,172.14,526.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.467672,0.0,75.0,0.0,0.0,0.0,0.0,102801.0,823.0,2524.0,38258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21978.0,0.0,47,0
2021-03-06,5.42,0.0,0.0,0.0,0.0,613.2900000000001,286.93,193.98,505.821941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.29876399999999,0.0,44.0,0.0,0.0,0.0,0.0,79570.0,810.0,3041.0,39280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21266.0,0.0,45,0
2021-03-07,10.790000000000001,0.0,0.0,0.0,0.0,459.51,389.27,190.25,522.99828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.277257,0.0,35.0,0.0,0.0,0.0,0.0,67539.0,793.0,2793.0,41921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23289.0,0.0,47,0
2021-03-08,15.369999999999997,0.0,0.0,0.0,0.0,357.56,294.06,156.28,425.609832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.272538,0.0,57.0,0.0,0.0,0.0,0.0,47794.0,961.0,2595.0,38252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24759.0,0.0,50,0
2021-03-09,11.25,0.0,0.0,0.0,0.0,448.7,308.14,210.6,440.354084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.394171,0.0,55.0,0.0,0.0,0.0,0.0,60717.0,878.0,3102.0,41977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26821.0,0.0,47,0
2021-03-10,12.07,0.0,0.0,0.0,0.0,509.07000000000005,253.47,220.28,498.321939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.24256899999999,0.0,67.0,0.0,0.0,0.0,0.0,70251.0,890.0,3050.0,40293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25977.0,0.0,40,0
