Day,Amazon_Prospecting_MediaCost,BingSearch_PaidSearchBrand_MediaCost,BingSearch_PaidSearchNonBrand_MediaCost,BingSearch_ShoppingAdsBrandNonBrand_MediaCost,CTV_Awareness_MediaCost,Criteo_Prospecting_MediaCost,Criteo_Retargeting_MediaCost,DV360_Prospecting_MediaCost,DV360_Retargeting_MediaCost,Facebook_MediaCost,GoogleSearch_NativeDiscoveryAds_MediaCost,GoogleSearch_PaidSearchBrand_MediaCost,GoogleSearch_PaidSearchNonBrand_MediaCost,GoogleSearch_ShoppingAdsBrandNonBrand_MediaCost,Influential_Awareness_MediaCost,Influential_Conversions_MediaCost,LinearTV_Awareness_MediaCost,Pinterest_Prospecting_MediaCost,Pinterest_Retargeting_MediaCost,Radio_Awareness_MediaCost,Snapchat_AddtoCartTeens_MediaCost,Snapchat_AddtoCartYoungAdults_MediaCost,Snapchat_Awareness_MediaCost,Snapchat_Conversions_MediaCost,Snapchat_ConversionsTeens_MediaCost,Snapchat_ConversionsYoungAdults_MediaCost,Snapchat_VideoViewsTeens_MediaCost,Snapchat_VideoViewsYoungAdults_MediaCost,TheTradeDesk_Prospecting_MediaCost,TheTradeDesk_Retargeting_MediaCost,Tinder_Prospecting_MediaCost,Twitch_Prospecting_MediaCost,YouTube_Prospecting_MediaCost,YouTube_Retargeting_MediaCost,Amazon_Prospecting_Impressions,BingSearch_PaidSearchBrand_Impressions,BingSearch_PaidSearchNonBrand_Impressions,BingSearch_ShoppingAdsBrandNonBrand_Impressions,CTV_Awareness_Impressions,Criteo_Prospecting_Impressions,Criteo_Retargeting_Impressions,DV360_Prospecting_Impressions,DV360_Retargeting_Impressions,Facebook_Impressions,GoogleSearch_NativeDiscoveryAds_Impressions,GoogleSearch_PaidSearchBrand_Impressions,GoogleSearch_PaidSearchNonBrand_Impressions,GoogleSearch_ShoppingAdsBrandNonBrand_Impressions,Influential_Awareness_Impressions,Influential_Conversions_Impressions,LinearTV_Awareness_Impressions,Pinterest_Prospecting_Impressions,Pinterest_Retargeting_Impressions,Radio_Awareness_Impressions,Snapchat_AddtoCartTeens_Impressions,Snapchat_AddtoCartYoungAdults_Impressions,Snapchat_Awareness_Impressions,Snapchat_Conversions_Impressions,Snapchat_ConversionsTeens_Impressions,Snapchat_ConversionsYoungAdults_Impressions,Snapchat_VideoViewsTeens_Impressions,Snapchat_VideoViewsYoungAdults_Impressions,TheTradeDesk_Prospecting_Impressions,TheTradeDesk_Retargeting_Impressions,Tinder_Prospecting_Impressions,Twitch_Prospecting_Impressions,YouTube_Prospecting_Impressions,YouTube_Retargeting_Impressions,Orders,holiday
2021-03-01,0.0,399.43000000000006,52.02000000000001,170.28,0.0,0.0,0.0,0.0,0.0,14928.510004,0.0,4958.340000000003,818.34,5196.937259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.876663,471.04501100000004,0.0,4881.0,3604.0,7393.0,0.0,0.0,0.0,0.0,0.0,1215563.0,0.0,13905.0,9332.0,654696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87163.0,24346.0,780,0
2021-03-02,0.0,356.25999999999993,51.91000000000001,149.57,0.0,0.0,0.0,0.0,0.0,20888.419999,0.0,4981.740000000001,728.95,5203.145095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.59982500000007,480.794049,0.0,5142.0,2085.0,8432.0,0.0,0.0,0.0,0.0,0.0,1899465.0,0.0,13822.0,9528.0,607556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83037.0,30554.0,769,0
2021-03-03,0.0,418.41,37.6,185.69,0.0,0.0,0.0,0.0,0.0,18174.119989,0.0,5424.890000000001,877.4,5198.017066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.876771,497.396875,0.0,3998.0,3390.0,8409.0,0.0,0.0,0.0,0.0,0.0,1624623.0,0.0,13985.0,10080.0,605122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93431.0,31253.0,797,0
2021-03-04,0.0,363.6400000000001,35.38999999999999,135.36,0.0,0.0,0.0,0.0,0.0,16527.890003999997,0.0,4491.019999999999,818.1899999999999,5158.36373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.48452199999997,495.00807100000003,0.0,3660.0,3381.0,8311.0,0.0,0.0,0.0,0.0,0.0,1272430.0,0.0,13382.0,9420.0,593758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84057.0,35405.0,741,0
2021-03-05,0.0,403.1700000000001,42.96000000000001,127.99,0.0,0.0,0.0,0.0,0.0,21044.740017,0.0,4274.1900000000005,804.4200000000001,5184.941836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.057608,492.43260499999997,0.0,3502.0,2932.0,6897.0,0.0,0.0,0.0,0.0,0.0,1597394.0,0.0,12114.0,8476.0,571190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60483.0,33950.0,706,0
2021-03-06,0.0,306.45,47.41,104.45,0.0,0.0,0.0,0.0,0.0,24838.469989,0.0,4545.84,1081.89,4999.175388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.665512,488.14852800000006,0.0,3036.0,2711.0,5117.0,0.0,0.0,0.0,0.0,0.0,1815646.0,0.0,11613.0,9575.0,571605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57401.0,29649.0,705,0
2021-03-07,0.0,260.1,38.85,130.73,0.0,0.0,0.0,0.0,0.0,18649.250008,0.0,5098.41,1004.0699999999999,5438.439898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.15149700000006,490.168265,0.0,3045.0,3052.0,5390.0,0.0,0.0,0.0,0.0,0.0,1619571.0,0.0,12433.0,12117.0,584019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84688.0,45503.0,813,0
2021-03-08,0.0,402.82,48.61,143.61,0.0,0.0,0.0,0.0,0.0,14976.340007000003,0.0,5356.47,1022.3299999999999,4827.046531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.391659,495.082471,0.0,3930.0,2972.0,7889.0,0.0,0.0,0.0,0.0,0.0,1202627.0,0.0,13910.0,11994.0,602072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95557.0,38480.0,744,0
2021-03-09,0.0,386.6600000000001,46.64999999999999,136.43,0.0,0.0,0.0,0.0,0.0,19231.279997999998,0.0,5474.930000000001,1368.5900000000001,5333.652379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.286204,496.12587099999996,0.0,3921.0,3414.0,6870.0,0.0,0.0,0.0,0.0,0.0,1410475.0,0.0,13505.0,13549.0,686136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147134.0,41155.0,803,0
2021-03-10,0.0,459.09000000000003,52.980000000000004,153.96,0.0,0.0,0.0,0.0,0.0,20519.680019,0.0,5437.259999999998,1044.03,5180.153755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.10625400000004,492.35097399999995,0.0,3748.0,3069.0,8038.0,0.0,0.0,0.0,0.0,0.0,1600370.0,0.0,13226.0,13252.0,632572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161442.0,28847.0,830,0
